StringIndex,NumberIndex
스타벅스서초파라곤점 서초파라곤점 서초동,341
비트포비아 던전홍대점 서교동,342
와플대학노원역캠퍼스 노원역캠퍼스 상계동,343
카페트레블 동숭동,344
디저트뒤쥬르 상계동,345
야드바이비씨 성수동1가,346
천상가옥 성수점 성수동2가,347
타임에프터타임 성수동2가,348
플로어포픽션 소격동,349
하이 웨스트익선 돈의동,350
공차 보라매점 봉천동,351
공차 타임스퀘어점 영등포동4가,352
메가엠지씨커피 영등포역점 영등포동3가,353
메가엠지씨커피신길힐스테이트점 신길동,354
메가엠지씨커피영등포역 남부점 영등포동,355
이디야커피 신풍역점 신길동,356
커피마리오 신길동,357
컴포즈커피 신길점 신길동,358
컴포즈커피 신풍역점 신길동,359
메가엠지씨커피가재울북가좌초교점 북가좌동,360
사이드테이블 연남동,361
이스케이프시티 성신여대점 동선동1가,362
AID카페 롯데월드몰점 신천동,363
블리스냅 방화동,364
에이아이디카페롯데월드몰 신천동,365
카페타치 성수동1가,366
디저트카페낙타 수유동,367
카조 수유동,368
커피공장2010 쌍문동,369
테이크온미 창동점 창동,370
스타벅스 신림포도몰점 신림동,371
스타벅스 용산역써밋R점 한강로2가,372
이디야커피 신상도초교점 상도동,373
컨플릭트스토어커피 신사동,374
네버더레스 이태원동,375
아우프글렛 한남점 한남동,376
쥬씨 선유도역점 양평동4가,377
웰위치아 문래동3가,378
커스텀커피 강동상일점 상일동,379
당인리책발전소 서교동,380
리사르커피 신당동,381
블루보틀커피코리아삼청 소격동,382
컴폴커피 번동,383
크림시크 명동1가,384
프로토콜 연희동,385
히도커피 성북동1가,386
쉐드커피 마곡동,387
스모 코가이즈 합정동,388
에스페란자로스터즈 홍은동,389
스포링포니 권농동,390
에그마카슈 성수점 성수동1가,391
오너스 역삼동,392
르몽블랑 용산동2가,393
타르틴 서교동,394
도미넌트 성내동,395
사생활 신림동,396
스프레드 신대방동,397
핸드릭스커피로스터스 동교동,398
메이브커피숍 봉천동,399
모멘토브루어스 성수동1가,400
투썸플레이스 올림픽공원역점 방이동,401
동작카페 노량진동,402
바이트앤십 냉천동,403
서울커피 여의도동,404
소장식물전 공항동,405
시너리 이수점 사당동,406
어반밀커피 공평동,407
유어보울 영등포동4가,408
크로닉 당산동4가,409
베스킨라빈스 응암역점 역촌동,410
빽다방 홍대거리점 서교동,411
용호야채곱창 용문동,412
스타벅스 미아뉴타운점 미아동,413
커피타는고양이 미아동,414
티아드 미아동,415
림폴커피 성내동,416
맥그레고르 성내동,417
브로일링커피 강동점 성내동,418
디벙크 합정동,419
소울 창성동,420
아키비스트 효자동,421
애틱인서울하우스 목동,422
앤드그레이 양평동3가,423
앤티크거피 당산동4가,424
커피앤시가렛 서소문동,425
캘린더커피스탠드 안암동2가,426
가배도 삼청점 소격동,427
블루마일스커피로스터즈 공릉동,428
송스키친 경복궁점 누하동,429
시프스 공릉동,430
오누이 공릉동,431
하이버 누상동,432
몰또이탈리안에스프레소바 명동1가,433
아이사구아 가회동,434
언커먼그라운드 성수동2가,435
오프커피 성수동2가,436
온화 성수점 성수동2가,437
토비커피 방배동,438
에고 서교동,439
폴바셋 서소문점 서소문동,440
딥다이브 방배동,441
로지커피 원효로1가,442
먼셀커피 반포동,443
아우프글렛 2호점 연남동,444
앳더블랑 흑석동,445
오리지널팬케이크하우스이태원점 이태원점 이태원동,446
라그랑자트 청담동,447
데칸트 청담동,448
설빙 대학로점 동숭동,449
위넌스터디카페 강남구청역점 삼성동,450
추억속의그다방 서초동,451
설빙 구로지밸리점 구로동,452
아데네 신대방동,453
아마스빈 보라매점 신대방동,454
파스쿠찌 보라매공원점 신길동,455
빈트리 월계동,456
이디야커피 석계중앙점 석관동,457
클라우드9 월계동,458
호호커피집 월계동,459
아티제 코엑스몰점 삼성동,460
카페앳 양재동,461
스타벅스 홍제역점 홍제동,462
이디야커피 홍은사거리점 홍은동,463
라프레 성수동1가,464
언니커피 성수동2가,465
디스러프 동선동2가,466
안암카페더보일 안암동5가,467
키라쿠 제기동,468
문베어 창천동,469
빌리엔젤 강남358타워점 역삼동,470
펠어커피 성신여대점 동소문동6가,471
로이스빈 개포동,472
부나빈 우면동,473
하품카페 양재동,474
공차 회기점 휘경동,475
더미쓰리 이태원동,476
