StringIndex,NumberIndex
청년다방 강동역점 천호동,532
투썸플레이스 암사역점 암사동,533
노아스로스팅 연희1호점 연희동,534
브라하 방배동,535
카페아사 응암동,536
공차 연세암병원점 신촌동,537
소디스커피 봉천동,538
카페파인 제기동,539
커피빈 상수역점 상수동,540
감나무아래 하계동,541
눈타이드 청량리동,542
스타벅스노원마들역점 노원마들역점 상계동,543
카페인중독 노원점 하계동,544
플로레스테이블 상계동,545
하이제씨 동숭동,546
할리스커피 국기원점 역삼동,547
할리스커피강남역점 강남역점 역삼동,548
CAPET 망원동,549
라떼킹 가로수길2호점 신사동,550
루프트커피 명동점 충무로2가,551
리브릭 성수동2가,552
밀로커피 동교동,553
밀로커피로스터스 동교동,554
바오밥 나무커피 신사동,555
발코니가든 동교동,556
성수빈티지 성수동1가,557
소르비 신사동,558
어느새봄 양재동,559
공미학 서초동,560
앙떼띠커피로스터리 대치동,561
에그마카슈 성수점 성수동1가,562
젤라떼리아도도 송파동,563
커피펙토리 소격동,564
쿠스 신사동,565
토마스커피 합정동,566
피클피클 용산동2가,567
감각 상계동,568
앤티크커피 동교동,569
이디야커피 역삼중앙점 역삼동,570
카페아르크 아르크 사직동,571
클로리스티앤씨 역삼동,572
커피나무 보라매역점 신길동,573
투썸플레이스 신촌연세로점 창천동,574
NAMU 합정동,575
디닷커피 목동,576
북앤레스트 삼성동,577
소니도 당산동6가,578
자이온 염창동,579
베르데커피 문래동2가,580
예커피 개봉동,581
초록상어 상도동,582
카페씬 오류동,583
펠어커피 상도1동,584
로즈드마이 응암동,585
알키미스타 응암동,586
이일삼점 응암동,587
필구커피 응암동,588
공차 동대문종합시장점 종로6가,589
공차 수유역점 수유동,590
더로비 방학동,591
벌스데이투미 연남동,592
빽다방 쌍문세라믹점 쌍문동,593
스타벅스연세백양로점 연세백양로점 신촌동,594
에일당 익선동,595
커브드커피 종로3가,596
컴포즈커피 방학신동아점 방학동,597
고호재롯데월드몰점 신천동,598
무자비 남영동,599
어니커피 송파동,600
만랩커피 수서점 수서동,601
미드데이썬 성내동,602
스타벅스 길동역점 길동,603
커피와이 문정동,604
픽처레스크 자곡동,605
더플롯커피 등촌동,606
블루보틀 광화문점 서린동,607
오버도즈 등촌동,608
오우야에스프레소바 마곡동,609
오우야에스프레소바마곡 나루점 마곡동,610
테이퍼드커피 등촌동,611
테일러커피 연남동,612
할리스커피 공덕경의선숲길점 염리동,613
R카페 익선동,614
네버더레스 이태원동,615
스타벅스광화문점 광화문점 세종로,616
카페효제눅 연건동,617
카페샤넌 남영동,618
파스텔서촌점 누하동,619
프롤라 성수동2가,620
공차 성신여대점 동선동1가,621
달리는커피 성신여대점 동선동1가,622
더지 동선동3가,623
맨케이브커피 동선동2가,624
카페브릭스 정릉동,625
파도의숲 삼선동5가,626
라뚜셩트 갈현동,627
메리트리 연남동,628
소마커피 부암동,629
애견카페히릿 화양동,630
Grit918 서초동,631
메가엠지씨커피 독바위역점 불광동,632
빌리프커피로스터스 서교동,633
스타벅스구파발역점 구파발역점 진관동,634
일쩜오플로어커피 연남동,635
첫만남 명륜4가,636
커피블랑 회기동,637
공차 송파파크하비오점 문정동,638
더브리즈커피 문정동,639
빽다방 잠실장미상가점 신천동,640
월디커피로스터스 둔촌동,641
이디야커피 문정문현점 문정동,642
카페이안 청담동,643
토다서초 서초동,644
드플로허 한남동,645
레귤러서비스커피숍 망원동,646
밤부 합정동,647
블랙컵 노량진동,648
북촌다방 화동,649
스크렘 역삼동,650
오른손푸드카페 봉천동,651
오헨 여의도동,652
카페폴 봉천동,653
로스코지 신수동,654
무니 후암동,655
안다르커피 창천동,656
인솔커피 상수점 상수동,657
카페모노블럭 모노블록 서교동,658
투썸플레이스 광흥창역점 창전동,659
핸드릭스커피로스터스 동교동,660
빌리엔젤 강남358타워점 역삼동,661
스타벅스 천호대로길동점 길동,662
쏘리에스프레소바 적선동,663
델리 아마폴라 역삼동,664
매머드익스프레스 상봉동점 상봉동,665
매머드익스프레스 영등포시장역점 영등포동7가,666
스타벅스중랑구청점 중랑구청점 신내동,667
아마폴라델리 강남점 역삼동,668
아마폴라델리선릉점 선릉점 역삼동,669
스타벅스 은평구청입구점 응암동,670
스타벅스 홍대공항철도역점 동교동,671
엔제리너스 서초대로점 서초동,672
엔제리너스강남역점 강남역점 서초동,673
테라로사 국립현대미술관점 소격동,674
고디바광화문점 광화문점 세종로,675
새들러하우스 신사동,676
아재커피 북촌점 계동,677
카페호이 자양동,678
37.5 녹번점 녹번동,679
꾸까 이마트월계점 월계동,680
스타벅스중계역점 중계역점 상계동,681
카페러슬 구의동,682
커피마마퀸 암사역점 암사동,683
미스터리룸이스케이프 강남점 서초동,684
발도스커피 목동점 목동,685
셜록홈즈 강남2호점 서초동,686
용파이마켓 역삼동,687
커피스미스 이태원점 이태원동,688
콘레드커피 노량진동,689
79파운야드 도산공원점 신사동,690
듀윗 연남동,691
식물학 용산아이파크몰점 한강로3가,692
와플앨리 안암동5가,693
키베이커리 성수동1가,694
오이스터 후암동,695
티테라피행랑 안국동,696
그린머그 구로동,697
언더그라운드커피웍스 정릉동,698
카페 솔샘771 정릉동,699
카페 전농주택 전농동,700
클류치 명륜3가,701
MTL한남 한남동,702
스타벅스 갤러리아팰리스점 잠실동,703
청키파이 대현동,704
체크인 석촌동,705
MEGACOFFEE메가커피 동소문점 동선동4가,706
그로우랩스터디카페동대문 휘경점 휘경동,707
매머드커피장교빌딩점 장교동,708
결 공평동,709
마크69 성수동1가,710
모멘토브루어스 성수동1가,711
스타벅스 용산역써밋R점 한강로2가,712
아티제 외대점 이문동,713
전광수커피 고대점 안암동5가,714
전광수커피하우스 고려대점 안암동5가,715
토프레소 월곡화랑점 하월곡동,716
투썸플레이스 소공로북창점 북창동,717
마크레인커피 신사동,718
당케커피 한강로2가,719
레레플레이 황학동,720
쥬뗑뷔뜨 석촌동,721
카페커디 마곡동,722
파크15 용산동5가,723
공차 홍대입구역점 동교동,724
빽다방 명지대 홍은동,725
청년다방 홍제역점 홍제동,726
커피컵 종로3가,727
공차 잠실학원사거리점 삼전동,728
먼셀커피 이태원동,729
무스커피 방이동,730
카페이클립스 석촌동,731
라라브레드 공릉점 공릉동,732
익선잡방 익선동,733
Malacca 당산동3가,734
더치앤빈 문래점 문래동3가,735
메가엠지씨커피문래에이스 하이테크점 문래동3가,736
스타벅스 문래역점 문래동3가,737
스타벅스 화곡DT점 화곡동,738
매머드커피 동국대점 필동3가,739
스타벅스 동국대점 충무로5가,740
텐더리커피엔디저트 연남동,741
파인콘 화동,742
모뉴먼트커피 성내동,743
비엔나커피하우스서울숲역점 성수동1가,744
투썸플레이스 강동역점 천호동,745
금남커퓌 상계동,746
물레 상계동,747
키오스크 망원동,748
페그로스터스 서교동,749
푸르딩 서교동,750
내맘대로폰케이스 홍대점 서교동,751
아이엠카페 신림동,752
요크 신림동,753
루나틱커피 동교동점 동교동,754
만랩커피 영등포구청점 당산동3가,755
문베어 창천동,756
밀랑스 대흥동,757
애프터워크클럽 문래동2가,758
카페 크로와플마침내 냉천동,759
커피랩 서교동,760
클래직 인현동2가,761
투썸플레이스신촌점 신촌점 창천동,762
네시사분 연남동,763
번트 안암동2가,764
시간공방 종로점 관철동,765
와플대학 한성대캠퍼스 삼선동2가,766
카페 럭키바 삼선동5가,767
두더지손 당산동6가,768
코타티 성수점 성수동1가,769
라이터스커피 상계동,770
사이커피바 방학동,771
세라젬웰카페 쌍문점 쌍문동,772
실라커피 성북동,773
에이폰드 수유동,774
엔트런스 논현동,775
이디야커피 창동블루핀점 창동,776
카페방학 방학동,777
케냐키암부 이태원동,778
탐앤탐스 창동본점 창동,779
티끌 쌍문동,780
파스쿠찌 성신여대점 동선동4가,781
파스쿠찌 창동점 창동,782
그굴 행당동,783
설빙 서울마곡나루점 마곡동,784
올티드 가락동,785
올티드커피 가락동,786
커피바이 잠실동,787
투썸플레이스 송파구청사거리점 방이동,788
티에리 마곡동,789
도토루커피오스 성수동2가,790
모어쿠키 연남동,791
벌툰 신촌점 창천동,792
셀렉토커피 종암사거리점 종암동,793
아우트리거커피 하월곡동,794
앙시엔 하월곡동,795
엔젤리너스미아삼거리 미아동,796
낙랑파라 아현점 북아현동,797
스타벅스 아현역점 북아현동,798
요거프레소 북아현점 북아현동,799
옐로우버터드림 봉천동,800
설빙 마포공덕점 도화동,801
아마스빈 대흥역점 염리동,802
아마스빈 마포역점 도화동,803
탐앤탐스 마포도화점 도화동,804
투썸플레이스 마포역점 도화동,805
스타벅스코엑스사거리점 코엑스사거리점 삼성동,806
컴포즈커피 강남역센트럴애비뉴점 역삼동,807
클로리스티룸 코엑스점 삼성동,808
한남베르그도산 신사동,809
미노스 신사동,810
소프레소 삼성동,811
오설록티하우스 소격동,812
카페안나 청담동,813
타르틴 서교동,814
노아스로스팅 연희동,815
논탄토 신촌점 창천동,816
이디야커피 명지대점 남가좌동,817
백씨네콩다방 회기동,818
보드게임카페홈즈앤루팡 건대점 화양동,819
스타벅스 상봉역점 상봉동,820
언차일드 휘경동,821
투썸플레이스 망우점 망우동,822
투썸플레이스커피경희대점 커피경희대점 회기동,823
구의동소극장 구의동,824
암스퀘어커피로스터스 구의동,825
원즈커피 구의동,826
이노블스터디카페잠실삼전역점 삼전동,827
카페비잔 신당동,828
카페오로시 자양동,829
커피베이 아차산역점 중곡동,830
커피베이 중곡점 중곡동,831
버글러 중곡동,832
이디야커피 구의자양로점 구의동,833
카페긴고랑길 중곡동,834
트리거커피 중곡동,835
스타벅스 홍제역점 홍제동,836
쥬씨 신촌점 창천동,837
키커피컴퍼니 행당동,838
귀천 관훈동,839
비비브라운 청담동,840
식물관PH 수서동,841
카페밀브리지 역삼동,842
오브너리 갈월동,843
을의커피 청파동2가,844
1월의윤슬 내발산동,845
스타벅스 화곡동점 화곡동,846
이디야커피 마포공덕역점 도화동,847
카페파쉬노 합정동,848
