StringIndex,NumberIndex
투썸플레이스 상계사거리점 상계동,422
팔공티 광운대점 월계동,423
넉넉커피 장위동,424
닥터로빈 이대점 대현동,425
돌담커피 서교동,426
만랩커피홈플러스 월곡점 하월곡동,427
지유명차 교대점 서초동,428
하삼동커피 미아동,429
더썬카페 가양동,430
커스텀커피 마곡점 마곡동,431
투썸플레이스 마곡점 마곡동,432
사유공간찻집 용산동6가,433
요거프레소 합정역점 합정동,434
산맥로스터리 북가좌동,435
클래직 인현동2가,436
유어무드 방화동,437
피숑 노량진동,438
놀숲 플러스홍대점 서교동,439
놀숲플러스 홍대점 서교동,440
호이차 연희동,441
물오름달하루 신대방동,442
세븐다이스보드게임 미아동,443
초록상어 상도동,444
블루마일스커피로스터즈 공릉동,445
원형들 충무로4가,446
메가엠지씨커피 신목점 목동,447
수카페&쿠킹스튜디오 창천동,448
스타벅스 목동5단지점 목동,449
아펜즈커피 서초교대점 서초동,450
요거프레소 목동1단지점 목동,451
요거프레소 신목동점 목동,452
스타벅스 올림픽대교북단점 구의동,453
스타벅스서초파라곤점 서초파라곤점 서초동,454
스타벅스 금호역점 금호동4가,455
비트포비아 던전홍대점 서교동,456
와플대학노원역캠퍼스 노원역캠퍼스 상계동,457
카페트레블 동숭동,458
야드바이비씨 성수동1가,459
천상가옥 성수점 성수동2가,460
타임에프터타임 성수동2가,461
플로어포픽션 소격동,462
하이 웨스트익선 돈의동,463
공차 보라매점 봉천동,464
공차 타임스퀘어점 영등포동4가,465
메가엠지씨커피 영등포역점 영등포동3가,466
메가엠지씨커피신길힐스테이트점 신길동,467
메가엠지씨커피영등포역 남부점 영등포동,468
이디야커피 신풍역점 신길동,469
커피마리오 신길동,470
컴포즈커피 신길점 신길동,471
컴포즈커피 신풍역점 신길동,472
밤부 합정동,473
빌리프커피로스터스 서교동,474
해머스미스커피 삼성점 삼성동,475
해머스미스커피삼성 선정릉역점 삼성동,476
사이드테이블 연남동,477
이스케이프시티 성신여대점 동선동1가,478
AID카페 롯데월드몰점 신천동,479
블리스냅 방화동,480
에이아이디카페롯데월드몰 신천동,481
카페타치 성수동1가,482
디저트카페낙타 수유동,483
카조 수유동,484
커피공장2010 쌍문동,485
테이크온미 창동점 창동,486
