search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",cafe
카페엘,가산동,서울 금천구 가산디지털2로 136 승일VentureTower,17가산디지털단지역,350.0,50,31.0,12.0,7.0,5.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,카페엘 가산동
더벤티마곡나루역점,마곡동,서울 강서구 마곡중앙로 161-11,9공항마곡나루역,212.0,233,3.0,46.0,62.0,15.0,19.0,5.0,4.0,4.0,4.0,2.0,13.0,91.0,3.0,0.0,1.0,더벤티 마곡나루역점 마곡동
디초콜릿커피 파르나스몰점,삼성동,서울 강남구 테헤란로 521 파르나스몰 내 b1층 F-3a호,2삼성역,92.0,252,8.0,39.0,30.0,43.0,10.0,10.0,3.0,2.0,0.0,0.0,13.0,90.0,0.0,0.0,1.0,디초콜릿커피엔드 삼성동
밀탑 수서역점,목동,서울 강남구 광평로 280 로즈데일오피스텔 1층 123호,3수인분당수서역,15.0,431,96.0,62.0,91.0,1.0,96.0,48.0,11.0,61.0,21.0,6.0,95.0,15.0,3.0,11.0,17.0,"밀탑빙수,커피 목동"
투썸플레이스 포스코사거리점,대치동,서울 강남구 테헤란로 508 해성2빌딩 1층,2삼성역,445.0,457,5.0,47.0,5.0,4.0,58.0,60.0,35.0,67.0,40.0,10.0,13.0,16.0,9.0,5.0,7.0,TWOSOMEPLACE 대치동
유원섬커피,창천동,서울 서대문구 연세로 42-24,경의중앙신촌역,449.0,85,38.0,13.0,21.0,51.0,7.0,16.0,2.0,23.0,2.0,0.0,24.0,4.0,10.0,0.0,2.0,커피섬 창천동
디저트39 대방점,대방동,서울 동작구 여의대방로36길 105,1신림대방역,874.0,301,2.0,43.0,88.0,5.0,40.0,26.0,11.0,31.0,18.0,13.0,22.0,20.0,4.0,10.0,6.0,디저트39 대방점 대방동
포트캔커피 북가좌점,북가좌동,서울 서대문구 증가로 232,6증산역,426.0,105,61.0,28.0,29.0,10.0,11.0,3.0,1.0,3.0,2.0,0.0,7.0,25.0,1.0,0.0,1.0,포트캔커피 북가좌점 북가좌동
커피기술 로스터리,화곡동,,,,36,28.0,17.0,9.0,2.0,10.0,1.0,0.0,1.0,1.0,0.0,4.0,12.0,0.0,0.0,1.0,커피기술 화곡동
BOUNTE,마곡동,서울 강서구 마곡동로4길 15,5발산역,264.0,123,67.0,18.0,26.0,9.0,12.0,17.0,4.0,15.0,3.0,0.0,8.0,9.0,3.0,3.0,2.0,BOUNTE 마곡동
감성커피 중화역점,중화동,서울 중랑구 봉화산로 40,7중화역,86.0,25,12.0,9.0,9.0,3.0,3.0,4.0,0.0,2.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,감성커피 중화동
커피온리 건대중문점,화양동,서울 광진구 능동로 137 1층,27건대입구역,291.0,129,69.0,33.0,28.0,8.0,14.0,1.0,1.0,3.0,1.0,1.0,10.0,41.0,1.0,1.0,1.0,커피온리건대 중문점 화양동
아메리칸트레일러 롯데몰 김포공항점,방화동,,,,117,0.0,26.0,70.0,2.0,19.0,6.0,5.0,6.0,6.0,2.0,16.0,18.0,0.0,11.0,0.0,아메리칸트레일러 롯데몰김포공항점 방화동
즐거운 찻집,관훈동,서울 종로구 인사동길 55-2 2층,3안국역,173.0,127,0.0,26.0,15.0,11.0,21.0,32.0,5.0,17.0,4.0,1.0,19.0,4.0,4.0,0.0,4.0,즐거운찻집 관훈동
커피링거,마곡동,서울 강서구 공항대로 219 122호,5마곡역,367.0,54,41.0,34.0,17.0,9.0,19.0,2.0,3.0,21.0,2.0,0.0,4.0,12.0,0.0,3.0,7.0,커피링거 마곡동
커피니 논현한미점,논현동,서울 강남구 봉은사로 163 마르세움,9언주역,72.0,31,22.0,5.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,Cofeeniecafe 논현동
어벤더치 동양미래대학점,고척동,서울 구로구 중앙로6길 50 1층 어벤더치,1구일역,635.0,70,33.0,14.0,23.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,16.0,1.0,1.0,0.0,어벤더치 동양미래대학점 고척동
카페 크레센트,둔촌동,서울 강동구 진황도로 209-7 1층,9중앙보훈병원역,370.0,20,12.0,8.0,6.0,2.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,카페크레센트 크레센트 둔촌동
Coffee3Times,천호동,서울 강동구 구천면로 233,58천호역,752.0,28,17.0,9.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,커피3타임즈 천호동
커피기업 여의도직영점,여의도동,서울 영등포구 은행로 29 정우빌딩,9국회의사당역,415.0,256,0.0,46.0,78.0,20.0,9.0,7.0,0.0,7.0,4.0,2.0,47.0,24.0,2.0,0.0,2.0,커피기업 여의도직영점 여의도동
murmur,석촌동,서울 송파구 삼학사로18길 5 나이스빌 1층 카페 머머 murmur,9석촌고분역,240.0,83,33.0,33.0,23.0,64.0,16.0,6.0,1.0,24.0,1.0,0.0,29.0,2.0,0.0,0.0,21.0,Murmur 석촌동
캘리포니아도넛클럽 & 비라티오 홍대점,마곡동,,,,680,6.0,4.0,95.0,4.0,5.0,55.0,25.0,91.0,57.0,16.0,1.0,21.0,16.0,12.0,27.0,B.ratio 마곡동
바오밥나무커피,신사동,서울 강남구 도산대로17길 10 2층,3신분당신사역,530.0,67,34.0,18.0,15.0,11.0,20.0,10.0,5.0,22.0,5.0,4.0,6.0,0.0,7.0,1.0,10.0,바오밥 나무커피 신사동
카페게이트 목동파리공원점,목동,,,,70,32.0,15.0,22.0,4.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,15.0,1.0,1.0,0.0,카페게이트 목동파리공원점 목동
탐앤탐스 왕십리역점,행당동,서울 성동구 왕십리광장로 17 비트플렉스몰 2층 B-04호,25경의중앙수인분당왕십리역,45.0,331,8.0,31.0,56.0,64.0,32.0,33.0,15.0,33.0,16.0,0.0,17.0,9.0,1.0,10.0,2.0,탐앤탐스 왕십리역점 행당동
오가다 혜화대학로본사점,동숭동,"서울 종로구 대학로12길 15 1층, 2층",4혜화역,128.0,1128,60.0,8.0,5.0,1.0,7.0,0.0,4.0,1.0,7.0,60.0,1.0,74.0,18.0,0.0,69.0,오가다 대학로본사점 동숭동
감나무아래,하계동,서울 노원구 공릉로70길 8-4,7하계역,436.0,269,0.0,47.0,52.0,32.0,19.0,53.0,4.0,9.0,8.0,9.0,20.0,19.0,0.0,2.0,2.0,감나무아래 하계동
블랙모티브 선유도역점,양평동4가,서울 영등포구 양평로19길 10 1층,9선유도역,195.0,48,28.0,17.0,13.0,6.0,12.0,5.0,3.0,4.0,3.0,1.0,10.0,4.0,1.0,0.0,0.0,블랙모티브 선유도역점 양평동4가
두젠틀,역삼동,서울 강남구 논현로 534 지하1층 두젠틀,9언주역,308.0,25,4.0,13.0,7.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,두젠틀 역삼동
카페 드 플로르,신림동,서울 관악구 남부순환로152길 17 2층,2신대방역,896.0,66,25.0,28.0,22.0,37.0,21.0,7.0,17.0,20.0,8.0,9.0,5.0,9.0,1.0,0.0,4.0,cafedeflore 신림동
오늘 커피한잔,서초동,,,,30,20.0,7.0,6.0,4.0,6.0,4.0,2.0,8.0,2.0,2.0,2.0,0.0,2.0,5.0,0.0,"오늘,커피한잔 서초동"
일쩜오플로어,봉천동,서울 마포구 동교로34길 21,2공항경의중앙홍대입구역,369.0,105,23.0,29.0,14.0,0.0,7.0,4.0,0.0,3.0,1.0,4.0,44.0,1.0,1.0,1.0,3.0,FLOOR1.5CAFE 봉천동
마비노스 커피 본점,상계동,서울 노원구 한글비석로52길 22 1층 마비노스 커피,7마들역,897.0,94,81.0,25.0,17.0,6.0,14.0,10.0,2.0,25.0,1.0,1.0,12.0,7.0,1.0,0.0,4.0,마비노스커피 상계동
에이치비카페바이오틱스,이태원동,서울 용산구 회나무로44가길 11 TONIN 1층 HB카페,6이태원역,865.0,27,15.0,12.0,9.0,3.0,12.0,3.0,2.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,에이치비카페바이오틱스 이태원동
여니커피,대림동,서울 영등포구 대림로 191 103호,27대림역,593.0,79,52.0,50.0,36.0,17.0,18.0,13.0,8.0,21.0,24.0,0.0,23.0,16.0,1.0,8.0,17.0,여니커피 대림동
착한커피,노고산동,서울 마포구 신촌로16길 30 1층 착한커피,2신촌역,251.0,125,74.0,37.0,18.0,6.0,8.0,20.0,5.0,9.0,8.0,2.0,1.0,26.0,1.0,1.0,3.0,더착한커피신촌점 신촌점 노고산동
꿈더하기 카페,당산동3가,서울 영등포구 국회대로 596,25영등포구청역,429.0,11,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,꿈더하기카페 당산동3가
커피토아,방이동,서울 송파구 올림픽로32길 37 신유빌딩,9송파나루역,467.0,35,25.0,15.0,5.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,커피토아 방이동
프롬하츠커피 롯데월드몰점,신천동,서울 송파구 올림픽로 300 롯데월드몰 1층,28잠실역,55.0,35,7.0,10.0,5.0,2.0,7.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,프롬하츠커피롯데월드몰점 롯데월드몰점 신천동
비전스트롤,망원동,서울 마포구 망원로 61 1층,6망원역,705.0,55,41.0,4.0,6.0,35.0,1.0,4.0,0.0,18.0,0.0,0.0,17.0,0.0,1.0,0.0,7.0,비전스트롤 망원동
스타벅스 마곡나루역점,마곡동,서울 강서구 마곡중앙로 161-17,9공항마곡나루역,217.0,1367,1.0,0.0,9.0,6.0,3.0,9.0,64.0,62.0,68.0,28.0,49.0,29.0,37.0,34.0,12.0,스타벅스마곡나루역점 마곡나루역점 마곡동
카페 올리브,신당동,서울 중구 마장로1길 28-9,14동대문역,388.0,192,83.0,37.0,48.0,45.0,7.0,5.0,1.0,8.0,3.0,1.0,20.0,62.0,0.0,1.0,0.0,카페올리브 신당동
랩커피 신림점,신림동,서울 관악구 신림로67길 15 1층 RAB COFFEE (랩커피),2신림신림역,227.0,36,24.0,9.0,6.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,RABCOFFEE 신림동
커피낙타,도봉동,서울 도봉구 도봉산길 73,17도봉산역,939.0,71,45.0,9.0,18.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,6.0,10.0,7.0,0.0,3.0,커피낙타 도봉동
커피빈 수서역원방빌딩점,수서동,서울 강남구 광평로51길 6-23 원방테크사옥 1층,3수인분당수서역,225.0,197,94.0,36.0,49.0,23.0,46.0,27.0,15.0,17.0,38.0,17.0,4.0,3.0,1.0,1.0,0.0,커피빈 코리아수서역원방빌딩점 수서동
뽀로로파크 롯데 빅마켓 금천점,독산동,서울 금천구 두산로 71,1독산역,844.0,741,0.0,7.0,35.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,노는카페자리 독산동
카페135,방이동,서울 송파구 가락로 254-1 1층,9송파나루역,753.0,26,12.0,12.0,8.0,5.0,3.0,5.0,3.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,카페 135 방이동
라브리,대현동,서울 서대문구 이화여대8길 2 B102,2이대역,208.0,25,11.0,6.0,6.0,5.0,6.0,6.0,7.0,10.0,9.0,0.0,1.0,6.0,1.0,1.0,1.0,라브리 대현동
아델라카 드 말리,한강로2가,서울 용산구 한강대로 95 래미안 용산더센트럴 지하1층 B114호,4신용산역,181.0,14,5.0,4.0,3.0,0.0,2.0,3.0,1.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,캣츠커피용산더 센트럴점 한강로2가
앳더블랑,흑석동,서울 동작구 흑석로13가길 33 1층,9흑석역,417.0,33,10.0,9.0,3.0,12.0,10.0,7.0,3.0,8.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,앳더블랑 흑석동
히포커피 대학동점,신림동,서울 관악구 신림로12길 25 1층,신림서울대벤처타운역,490.0,27,10.0,6.0,9.0,5.0,3.0,1.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,히포커피 대학동점 신림동
에메트커피,신림동,서울 관악구 호암로 561,신림서울대벤처타운역,535.0,32,25.0,6.0,8.0,19.0,4.0,5.0,1.0,9.0,1.0,0.0,5.0,7.0,0.0,0.0,3.0,EMETH커피 신림동
그라찌에 경희대행복기숙사점,회기동,,,,13,3.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,그라찌에경희대행복기숙사점 경희대행복기숙사점 회기동
스필더빈스,창천동,서울 마포구 성미산로 11 1층,6망원역,394.0,48,37.0,34.0,18.0,4.0,24.0,4.0,11.0,29.0,10.0,1.0,7.0,3.0,2.0,2.0,12.0,더빈스11 창천동
CAFE216,신림동,,,,13,3.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,CAFE216 신림동
BBC,성수동2가,서울 성동구 뚝섬로 413 1층 브로벨커피,2성수역,749.0,21,13.0,6.0,7.0,2.0,3.0,2.0,1.0,6.0,4.0,1.0,3.0,0.0,3.0,1.0,4.0,브로벨커피BroBellCoffee 성수동2가
컴포즈커피 강남교보타워점,서초동,서울 서초구 사평대로56길 7 서초한일 유앤아이 주상복합 1층 108호,9신분당신논현역,106.0,187,99.0,28.0,47.0,18.0,13.0,1.0,1.0,0.0,1.0,0.0,9.0,77.0,2.0,2.0,0.0,컴포즈커피 교대점 서초동
공차 이대서울병원점,마곡동,서울 강서구 공항대로 260 지하1층,5발산역,316.0,483,0.0,98.0,7.0,38.0,96.0,39.0,17.0,31.0,47.0,11.0,36.0,27.0,7.0,17.0,3.0,공차 이대서울병원점 마곡동
키즈카페 체리시,미아동,서울 강북구 삼양로 162 잼스톤프라자 4층,우이신설삼양사거리역,310.0,68,0.0,18.0,18.0,0.0,31.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,체리시 미아동
민스커피,전농동,,,,13,6.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Minscoffee 전농동
공들인하루,신림동,서울 관악구 관천로10길 20 1층,2신림신림역,363.0,80,36.0,39.0,38.0,27.0,24.0,11.0,5.0,28.0,6.0,0.0,5.0,10.0,1.0,0.0,8.0,공들인하루 신림동
카페 나팔꽃,창전동,서울 마포구 독막로 147-14 1층,6광흥창역,145.0,72,54.0,19.0,25.0,26.0,12.0,2.0,2.0,5.0,0.0,3.0,26.0,4.0,0.0,0.0,2.0,카페 나팔꽃 창전동
cozy coffee&knitting,거여동,서울 송파구 거마로9길 7-11 1층,5거여역,306.0,37,13.0,15.0,13.0,15.0,15.0,5.0,2.0,15.0,4.0,3.0,3.0,4.0,0.0,1.0,7.0,cozycoffee&knitting 거여동
커피볶는아침 구의점,구의동,서울 광진구 자양로18길 86 1층 커피볶는아침,2구의역,207.0,55,48.0,20.0,10.0,2.0,5.0,3.0,0.0,12.0,0.0,2.0,10.0,1.0,0.0,0.0,1.0,커피볶는아침 구의동
옹글 샌드위치카페,금호동1가,서울 성동구 금호로 140 상가비동 지1층 101호,5신금호역,339.0,28,10.0,16.0,10.0,16.0,11.0,1.0,0.0,2.0,0.0,0.0,13.0,6.0,0.0,1.0,2.0,옹글 금호동1가
콘레드커피 광운대점,월계동,서울 노원구 광운로 27,1경춘광운대역,491.0,160,77.0,19.0,35.0,3.0,6.0,5.0,1.0,1.0,1.0,2.0,9.0,65.0,2.0,1.0,0.0,콘레드커피 광운대점 월계동
나이스데이,방이동,서울 송파구 오금로11길 55-22,9한성백제역,212.0,97,48.0,16.0,23.0,10.0,9.0,0.0,1.0,0.0,3.0,4.0,2.0,23.0,1.0,0.0,0.0,NICEDAY 방이동
곰미커피,구로동,서울 구로구 시흥대로163길 33,2구로디지털단지역,484.0,29,19.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,곰미커피 구로동
스타벅스 노원마들역점,상계동,서울 노원구 노원로 569,7마들역,399.0,2183,3.0,1.0,1.0,2.0,2.0,5.0,88.0,2.0,3.0,0.0,75.0,54.0,25.0,27.0,26.0,스타벅스노원마들역점 노원마들역점 상계동
머드거트,용산동2가,,,,49,1.0,20.0,1.0,23.0,21.0,4.0,2.0,20.0,0.0,3.0,25.0,2.0,1.0,1.0,14.0,머드거트 용산동2가
와플대학 강남역지하상가 캠퍼스,역삼동,서울 강남구 강남대로 396 지하상가 남2호,2신분당강남역,39.0,346,34.0,49.0,20.0,0.0,6.0,4.0,1.0,5.0,2.0,0.0,31.0,2.0,4.0,0.0,3.0,와플대학 강남역지하상가캠퍼스 역삼동
발도스커피 위더스논현점,논현동,서울 강남구 강남대로112길 25,9신분당신논현역,244.0,278,8.0,42.0,46.0,11.0,21.0,9.0,3.0,10.0,9.0,3.0,6.0,86.0,4.0,0.0,5.0,발도스커피위더스 논현점 논현동
카페그린버디,도봉동,서울 도봉구 마들로 932 평화문화진지 102동 카페그린버디,17도봉산역,607.0,101,60.0,22.0,21.0,6.0,7.0,8.0,1.0,5.0,1.0,1.0,1.0,18.0,13.0,1.0,1.0,카페 그린버디 도봉동
엠지엠지,성내동,서울 강동구 천호대로176길 52 카페 엠지엠지 (서울특별시 강동구 성내동 386-52 카페 엠지엠지),5둔촌동역,592.0,22,13.0,9.0,3.0,9.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,엠지엠지 성내동
더치앤빈 삼성2호점,대치동,"서울 강남구 테헤란로114길 20 102호, 103호",2삼성역,385.0,218,8.0,35.0,37.0,18.0,31.0,20.0,5.0,11.0,17.0,5.0,13.0,19.0,4.0,1.0,0.0,더치앤빈 삼성2호점 대치동
앳커피,서교동,서울 마포구 와우산로13길 6 101호,6상수역,296.0,16,8.0,4.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,앳커피 서교동
레어마카롱 대치점,대치동,서울 강남구 삼성로67길 22 101호,수인분당한티역,775.0,42,14.0,12.0,7.0,10.0,9.0,1.0,1.0,9.0,1.0,0.0,8.0,2.0,2.0,0.0,4.0,레어마카롱 대치동
마일스톤 커피 한남점,신사동,서울 용산구 한남대로27가길 26 1층,6한강진역,310.0,553,9.0,0.0,88.0,4.0,50.0,29.0,1.0,81.0,6.0,10.0,49.0,9.0,10.0,3.0,46.0,마일스톤커피로스터스 신사동
월디커피로스터스,둔촌동,서울 강동구 양재대로102길 39,5둔촌동역,721.0,49,36.0,16.0,14.0,6.0,10.0,5.0,3.0,8.0,1.0,3.0,5.0,6.0,1.0,0.0,3.0,월디커피로스터스 둔촌동
카페울림,신월동,,,,16,12.0,6.0,6.0,3.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,카페울림 신월동
라이크어시네마,등촌동,서울 강서구 등촌로 169 1층,9등촌역,685.0,50,3.0,15.0,5.0,9.0,5.0,0.0,0.0,12.0,0.0,0.0,20.0,18.0,0.0,1.0,5.0,라이크어시네마 등촌동
보니또커피 샤로수길점,봉천동,서울 관악구 관악로14길 46 1층,2서울대입구역,378.0,155,68.0,31.0,28.0,31.0,14.0,3.0,0.0,9.0,1.0,0.0,17.0,47.0,0.0,0.0,1.0,보니또커피샤로수점 봉천동
함께그린카페 금나래문화체육센터점,독산동,서울 금천구 시흥대로79길 32,1금천구청역,438.0,120,85.0,24.0,13.0,12.0,12.0,8.0,4.0,10.0,3.0,4.0,2.0,15.0,1.0,0.0,2.0,함께그린카페금나래문화체육센터점 독산동
커피에반하다 파주올소점,대치동,,,,277,90.0,71.0,33.0,34.0,31.0,7.0,1.0,15.0,5.0,11.0,14.0,85.0,2.0,57.0,3.0,올소커피 대치동
기기커피 삼성점,삼성동,서울 강남구 테헤란로87길 47 1층 기기커피,9삼성중앙역,538.0,426,7.0,60.0,73.0,33.0,46.0,24.0,6.0,26.0,7.0,0.0,13.0,9.0,2.0,2.0,6.0,기기커피 역삼점 삼성동
이디야커피 에이스가산포휴점,가산동,"서울 금천구 가산디지털1로 225 102호, 103호 일부호",17가산디지털단지역,577.0,198,2.0,34.0,36.0,7.0,24.0,11.0,4.0,7.0,10.0,5.0,15.0,25.0,0.0,2.0,2.0,이디야커피 에이스가산포휴점 가산동
크레마도르,서초동,서울 서초구 서운로 138,2신분당강남역,370.0,34,20.0,3.0,7.0,6.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,크레마도르 서초동
이디야커피 장안중앙점,장안동,,,,120,62.0,21.0,24.0,9.0,19.0,26.0,10.0,3.0,12.0,2.0,2.0,20.0,0.0,2.0,0.0,이디야커피 장안중앙점 장안동
참된커피 봉천점,봉천동,서울 관악구 봉천로31길 6 101호 참된커피,2봉천역,159.0,25,8.0,6.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,참된커피 봉천동
커피스퀘어,안암동5가,서울 성북구 안암로 145 과학도서관 지하,6안암역,474.0,152,87.0,25.0,32.0,9.0,9.0,2.0,2.0,3.0,3.0,2.0,5.0,40.0,0.0,1.0,0.0,커피스퀘어 안암동5가
카페이퍼스 역삼점,역삼동,서울 강남구 언주로99길 10,9언주역,663.0,81,37.0,15.0,18.0,10.0,13.0,4.0,1.0,8.0,6.0,1.0,10.0,11.0,4.0,0.0,1.0,이퍼스 역삼동
지유가오카핫초메 삼청점,안국동,서울 종로구 윤보선길 46,3안국역,261.0,189,58.0,38.0,47.0,93.0,31.0,23.0,5.0,26.0,0.0,4.0,28.0,5.0,8.0,0.0,10.0,지유가오카핫쵸메 안국동
카페알로하,양재동,서울 서초구 강남대로30길 32-26,3신분당양재역,466.0,38,17.0,8.0,8.0,4.0,9.0,3.0,2.0,1.0,2.0,0.0,12.0,8.0,0.0,1.0,0.0,카페알로하 양재동
커피팝,연희동,,,,147,93.0,17.0,29.0,17.0,11.0,18.0,7.0,6.0,4.0,2.0,5.0,6.0,0.0,2.0,2.0,커피팝 연희동
와플대학 노원역캠퍼스,상계동,서울 노원구 상계로1길 8,47노원역,156.0,147,22.0,24.0,9.0,0.0,10.0,2.0,1.0,1.0,3.0,1.0,11.0,39.0,1.0,1.0,0.0,와플대학노원역캠퍼스 노원역캠퍼스 상계동
공차 수서역점,수서동,서울 강남구 밤고개로1길 10 수서현대벤쳐빌,3수인분당수서역,43.0,260,0.0,55.0,6.0,16.0,21.0,12.0,7.0,4.0,12.0,4.0,9.0,12.0,2.0,6.0,9.0,공차 수서역점 수서동
요거프레소 구의강변로점,구의동,서울 광진구 구의강변로 45 구의동 복합빌딩,2강변역,343.0,18,8.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,요거프레소 구의점 구의동
커피스미스 경리단길점,이태원동,서울 용산구 회나무로 43,6녹사평역,757.0,60,30.0,12.0,19.0,9.0,15.0,13.0,10.0,6.0,12.0,5.0,3.0,7.0,0.0,0.0,0.0,커피스미스 경리단길점 이태원동
스타벅스 역삼아레나빌딩점,역삼동,서울 강남구 언주로 425,2역삼역,638.0,706,4.0,7.0,8.0,1.0,6.0,60.0,44.0,48.0,66.0,51.0,33.0,20.0,21.0,5.0,7.0,역삼아레나 역삼동
커피구멍가게,등촌동,서울 강서구 화곡로68길 36 에이스에이존,9가양역,292.0,51,36.0,17.0,14.0,6.0,2.0,10.0,6.0,4.0,1.0,0.0,5.0,13.0,1.0,0.0,1.0,커피구멍가게 등촌동
모범시민카페,서초동,서울 서초구 강남대로47길 30,3신분당양재역,623.0,52,28.0,17.0,8.0,5.0,7.0,5.0,1.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,1.0,모범시민카페 서초동
위드모리,신대방동,서울 동작구 보라매로 104,7신대방삼거리역,119.0,40,22.0,9.0,15.0,7.0,5.0,8.0,2.0,3.0,2.0,0.0,2.0,9.0,1.0,0.0,1.0,위드모리Withmorrie 신대방동
엘카페커피로스터스,성수동2가,서울 용산구 후암로 68 B1,14공항경의중앙서울역,469.0,134,5.0,39.0,29.0,17.0,20.0,19.0,5.0,40.0,0.0,4.0,20.0,4.0,5.0,4.0,6.0,ELCAFECOFFEEROASTERS 성수동2가
밀로커피 로스터스,동교동,서울 마포구 양화로18안길 36,2공항경의중앙홍대입구역,88.0,168,8.0,43.0,38.0,18.0,30.0,21.0,9.0,16.0,5.0,9.0,21.0,2.0,2.0,0.0,4.0,밀로커피 동교동
그릿시냇가,신정동,,,,141,82.0,22.0,22.0,11.0,26.0,25.0,9.0,24.0,8.0,7.0,7.0,19.0,3.0,9.0,9.0,그릿시냇가까페 신정동
탐앤탐스커피강남면허점,대치동,서울 강남구 테헤란로114길 16 동남빌딩 1층,2삼성역,351.0,71,35.0,24.0,22.0,17.0,17.0,17.0,1.0,3.0,18.0,8.0,3.0,8.0,1.0,1.0,0.0,탐앤탐스 강남면허점 대치동
케냐키암부커피,이태원동,서울 용산구 회나무로44길 38 케냐대사관,6이태원역,890.0,114,72.0,10.0,18.0,11.0,12.0,13.0,1.0,20.0,6.0,5.0,6.0,1.0,49.0,0.0,18.0,케냐키암부 이태원동
이디야커피 송파한양점,송파동,서울 송파구 가락로 165 위례캐슬빌 101호,8송파역,589.0,88,57.0,24.0,16.0,9.0,14.0,9.0,8.0,1.0,4.0,3.0,1.0,15.0,3.0,0.0,0.0,이디야커피 송파한양점 송파동
카페아리보,사당동,서울 동작구 동작대로3길 6 해암빌딩,24사당역,44.0,195,5.0,48.0,47.0,35.0,22.0,34.0,8.0,9.0,17.0,8.0,6.0,16.0,1.0,0.0,3.0,카페아리보 사당동
스티머스,여의도동,서울 영등포구 국회대로66길 23 산정빌딩,9국회의사당역,248.0,38,28.0,10.0,7.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,스티머스 여의도동
요거프레소 군인공제회관점,도곡동,서울 강남구 남부순환로 2806 군인공제회관,3수인분당도곡역,237.0,35,15.0,8.0,12.0,10.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,1.0,요거프레소 군인공제회관점 도곡동
카페그루 방학점,방학동,,,,17,8.0,5.0,2.0,5.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,카페그루 방학동
탐앤탐스 문정로데오점,문정동,서울 송파구 동남로 130-1,3경찰병원역,579.0,179,74.0,32.0,34.0,30.0,19.0,23.0,33.0,12.0,17.0,10.0,10.0,12.0,1.0,3.0,1.0,탐앤탐스문정로데오점 문정로데오점 문정동
이디야커피 발산역점,내발산동,서울 강서구 공항대로 280,5발산역,5.0,379,4.0,71.0,64.0,44.0,37.0,41.0,9.0,6.0,25.0,3.0,8.0,59.0,2.0,3.0,1.0,이디야커피 발산역점 내발산동
