search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",cafe
아우프글렛 금호,금호동1가,서울 성동구 독서당로51길 7 1층,5신금호역,952.0,143,74.0,27.0,22.0,79.0,23.0,15.0,4.0,34.0,5.0,2.0,23.0,1.0,0.0,0.0,17.0,AUFGLET 금호점 금호동1가
더벤티 우장산역점,화곡동,서울 강서구 강서로45길 9 1층,5우장산역,122.0,135,83.0,15.0,23.0,13.0,9.0,1.0,0.0,0.0,1.0,1.0,3.0,36.0,0.0,0.0,1.0,더벤티 우장산역점 화곡동
카펫,망원동,"서울 마포구 동교로9길 72 1,2층",6망원역,234.0,264,3.0,92.0,68.0,74.0,40.0,34.0,5.0,8.0,9.0,3.0,28.0,9.0,6.0,1.0,50.0,CAPET 망원동
새검정,합정동,서울 마포구 독막로2길 17 1층,26합정역,180.0,30,16.0,8.0,6.0,2.0,9.0,7.0,6.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,5.0,새검정 합정동
공차 서울역점,봉래동2가,서울 중구 한강대로 405 지하1층 헌혈의집 옆,14공항경의중앙서울역,21.0,956,0.0,0.0,4.0,43.0,68.0,34.0,12.0,10.0,27.0,2.0,52.0,53.0,10.0,5.0,6.0,공차 서울역점 봉래동2가
튜토리얼,상수동,서울 마포구 와우산로 39-15 튜토리얼 (Tutorial),6상수역,107.0,52,18.0,13.0,6.0,17.0,6.0,2.0,1.0,14.0,3.0,3.0,10.0,2.0,4.0,0.0,14.0,튜토리얼 상수동
탕비실,장안동,서울 동대문구 천호대로81길 14,5장한평역,238.0,48,43.0,24.0,10.0,0.0,12.0,8.0,4.0,15.0,8.0,0.0,4.0,13.0,0.0,1.0,3.0,탕비실 장안동
모므로살롱,성수동1가,서울 성동구 서울숲2길 45-1 3층,수인분당서울숲역,303.0,83,33.0,43.0,36.0,21.0,11.0,18.0,5.0,39.0,4.0,8.0,16.0,5.0,8.0,1.0,21.0,모므로살롱 성수동1가
삼월열하루,면목동,서울 중랑구 겸재로 99 1층,7면목역,824.0,14,12.0,5.0,7.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,8.0,4.0,1.0,0.0,0.0,"삼월,열하루 면목동"
스펙터,통인동,서울 종로구 필운대로6길 23-1 스펙터,3경복궁역,617.0,123,63.0,39.0,41.0,48.0,3.0,10.0,0.0,61.0,0.0,5.0,21.0,2.0,1.0,0.0,30.0,스펙터 통인동
금옥당 인사점,관훈동,서울 종로구 인사동길 49,3안국역,233.0,1072,90.0,8.0,49.0,7.0,1.0,6.0,6.0,2.0,7.0,1.0,4.0,36.0,8.0,2.0,30.0,금옥당 인사점 관훈동
봇봇봇,성수동2가,서울 성동구 아차산로9길 8,2성수역,159.0,250,1.0,48.0,47.0,58.0,40.0,30.0,7.0,97.0,12.0,11.0,20.0,12.0,6.0,2.0,24.0,카페봇 성수동2가
퍼스널커피,망원동,서울 마포구 망원로6길 50 1층,6망원역,622.0,220,0.0,90.0,65.0,84.0,72.0,32.0,23.0,49.0,9.0,26.0,30.0,22.0,15.0,0.0,21.0,퍼스널커피 망원동
이디야커피 합정역사거리점,합정동,서울 마포구 독막로2길 5 1층,26합정역,125.0,135,61.0,36.0,27.0,21.0,23.0,16.0,9.0,6.0,18.0,1.0,1.0,28.0,3.0,0.0,1.0,이디야커피 합정역사거리점 합정동
커피N빙수,역촌동,서울 은평구 진흥로1길 15,6응암역,445.0,66,18.0,22.0,10.0,28.0,18.0,8.0,3.0,6.0,3.0,0.0,10.0,15.0,2.0,1.0,0.0,커피N빙수 역촌동
투썸플레이스 구로디지털역 깔깔거리점,구로동,서울 구로구 디지털로32길 97-39,2구로디지털단지역,112.0,571,7.0,69.0,93.0,2.0,60.0,79.0,49.0,44.0,96.0,26.0,17.0,27.0,23.0,2.0,11.0,투썸플레이스 구로디지탈역깔깔거리점 구로동
커피시네마,양평동4가,서울 영등포구 선유로49길 32 1층,9선유도역,111.0,31,21.0,6.0,6.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,커피시네마 양평동4가
지파시 롯데몰 김포공항점,방화동,서울 강서구 하늘길 77 지하 2층,59공항김포골드김포공항역,197.0,389,79.0,70.0,69.0,6.0,35.0,14.0,2.0,12.0,7.0,9.0,69.0,11.0,2.0,13.0,11.0,지파시 롯데몰김포공항점 방화동
타짜도르 용산아이파크몰점,한강로3가,서울 용산구 한강대로23길 55 아이파크몰 4층,1경의중앙용산역,99.0,681,7.0,5.0,3.0,83.0,72.0,66.0,5.0,73.0,36.0,8.0,62.0,17.0,31.0,25.0,15.0,타짜도르 용산아이파크몰점 한강로3가
펄프커피,신림동,서울 금천구 디지털로 121 109호,17가산디지털단지역,644.0,339,5.0,94.0,94.0,18.0,44.0,4.0,1.0,13.0,5.0,5.0,27.0,8.0,3.0,6.0,6.0,펄프커피 신림동
쥬마뺄,동교동,서울 마포구 와우산로37길 42 2층,2공항경의중앙홍대입구역,7.0,122,31.0,47.0,39.0,87.0,23.0,11.0,3.0,10.0,4.0,5.0,46.0,5.0,8.0,0.0,9.0,쥬마뺄 동교동
파인콘,화동,서울 종로구 북촌로5가길 44,3안국역,733.0,140,59.0,37.0,32.0,22.0,22.0,25.0,3.0,47.0,18.0,10.0,14.0,4.0,13.0,0.0,13.0,파인콘 화동
겟썸커피 Hannam,한남동,서울 용산구 이태원로42길 17,6이태원역,525.0,54,38.0,12.0,13.0,12.0,4.0,11.0,0.0,11.0,0.0,0.0,6.0,8.0,1.0,0.0,5.0,겟썸커피 한남 한남동
더플랩잭,상일동,,,,92,42.0,18.0,15.0,17.0,7.0,9.0,4.0,10.0,5.0,0.0,7.0,22.0,0.0,2.0,1.0,더플랩잭 상일동
카페밍글링,중곡동,서울 광진구 동일로60길 41-13 1층 카페밍글링,57군자역,479.0,29,10.0,13.0,6.0,5.0,8.0,7.0,4.0,12.0,6.0,3.0,4.0,2.0,3.0,0.0,1.0,밍글링 중곡동
4F,방산동,서울 중구 을지로35길 26-1 1층,25을지로4가역,296.0,18,6.0,4.0,2.0,0.0,2.0,2.0,1.0,12.0,1.0,2.0,5.0,1.0,2.0,0.0,5.0,4F카페 방산동
어나더쏭,중곡동,서울 광진구 능동로 265,57군자역,372.0,40,25.0,8.0,5.0,21.0,7.0,3.0,1.0,8.0,0.0,0.0,8.0,1.0,2.0,0.0,3.0,어나더쏭 중곡동
애드앤드,화양동,서울 광진구 광나루로26길 28 1층,7어린이대공원역,338.0,78,26.0,27.0,25.0,29.0,5.0,20.0,8.0,42.0,2.0,4.0,7.0,3.0,1.0,0.0,20.0,애드앤드 화양동
플디 성수점,성수동1가,서울 성동구 상원길 44 2층,2뚝섬역,149.0,91,25.0,24.0,20.0,64.0,11.0,4.0,2.0,4.0,3.0,1.0,23.0,3.0,0.0,0.0,10.0,플디 성수동1가
오후의 파이,석촌동,서울 송파구 삼학사로16길 4 1층,9석촌고분역,130.0,39,9.0,21.0,7.0,27.0,7.0,0.0,1.0,14.0,0.0,0.0,4.0,1.0,1.0,0.0,11.0,오후의파이 석촌동
로우커피,한남동,서울 용산구 이태원로54길 26 로우커피한남,6한강진역,356.0,111,61.0,18.0,28.0,18.0,12.0,23.0,2.0,23.0,7.0,4.0,9.0,0.0,7.0,0.0,13.0,로우커피한남 한남동
테이크어샤워,석촌동,서울 송파구 송파대로47길 1 동보빌딩 1층,89석촌역,354.0,67,29.0,16.0,16.0,25.0,19.0,11.0,2.0,32.0,1.0,1.0,4.0,4.0,1.0,1.0,15.0,테이크어샤워 석촌동
비엔나커피하우스 건대스타시티점,자양동,서울 광진구 능동로 92 스타시티몰 스타존 2층,27건대입구역,235.0,502,8.0,81.0,98.0,75.0,89.0,2.0,19.0,90.0,65.0,19.0,38.0,15.0,0.0,32.0,15.0,비엔나커피하우스 건대스타시티점 자양동
티블랙 마곡5호점,내발산동,,,,20,6.0,6.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,티블랙 발산점 내발산동
어나더룸,연남동,서울 마포구 성미산로29안길 19-4 1층,2공항경의중앙홍대입구역,921.0,86,60.0,25.0,28.0,30.0,14.0,7.0,0.0,24.0,0.0,3.0,3.0,0.0,5.0,0.0,18.0,어나더룸 연남동
카페어니스티 합정본점,서교동,서울 마포구 양화로8길 9,26합정역,73.0,77,41.0,14.0,22.0,12.0,10.0,14.0,6.0,10.0,3.0,2.0,8.0,11.0,1.0,0.0,0.0,카페어니스티 합정본점 서교동
빽다방 마포경찰서점,아현동,서울 마포구 마포대로 179,5애오개역,335.0,152,58.0,43.0,25.0,13.0,20.0,3.0,0.0,4.0,6.0,1.0,6.0,60.0,0.0,1.0,0.0,빽다방 마포경찰서점 아현동
에플린크,성산동,서울 마포구 성미산로 190-31 2층,2공항경의중앙홍대입구역,625.0,120,31.0,29.0,19.0,98.0,16.0,10.0,0.0,14.0,0.0,5.0,35.0,0.0,3.0,0.0,17.0,에플린크 성산동
스타벅스 가락시장역점,가락동,서울 송파구 중대로 121,3경찰병원역,242.0,1132,6.0,6.0,2.0,0.0,0.0,5.0,60.0,60.0,91.0,80.0,41.0,25.0,9.0,13.0,12.0,스타벅스가락시장역점 가락시장역점 가락동
스타벅스 외대점,이문동,서울 동대문구 휘경로 12-1,1외대앞역,156.0,984,7.0,7.0,6.0,7.0,0.0,88.0,88.0,35.0,66.0,40.0,32.0,29.0,25.0,9.0,15.0,스타벅스외대점 외대점 이문동
커피블랙 83도,여의도동,서울 영등포구 여의대방로67길 8 고려빌딩,9신림샛강역,319.0,25,11.0,2.0,6.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,커피블랙83도 여의도동
