name,search_name,address,road_address,near_station,station_distance,total_review,"""커피가 맛있어요""","""친절해요""","""음료가 맛있어요""","""디저트가 맛있어요""","""매장이 청결해요""","""대화하기 좋아요""","""집중하기 좋아요""","""인테리어가 멋져요""","""좌석이 편해요""","""화장실이 깨끗해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","""뷰가 좋아요""","""주차하기 편해요""","""사진이 잘 나와요""",same
차칸커피,차칸커피,신내동,서울 중랑구 신내로 225 디아뜨갤러리 150호,6봉화산역,56m,42,11.0,16.0,16.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,9.0,1.0,,1.0,True
훈고링고브레드,훈고링고브레드,성산동,서울 마포구 잔다리로 130 2층,6망원역,547m,102,48.0,41.0,15.0,,18.0,6.0,5.0,21.0,3.0,9.0,18.0,4.0,4.0,1.0,7.0,True
Anscoffee,안스커피,구기동,,,,18,16.0,7.0,2.0,3.0,1.0,6.0,1.0,,4.0,,,1.0,6.0,1.0,,False
스타벅스남부터미널2점 남부터미널2점,스타벅스 남부터미널2점,서초동,서울 서초구 효령로 274,3남부터미널역,153m,1227,2.0,0.0,0.0,2.0,5.0,7.0,71.0,47.0,69.0,33.0,34.0,31.0,13.0,10.0,10.0,False
스타벅스 현대목동점,스타벅스 현대목동점,목동,서울 양천구 목동동로 257,5오목교역,186m,1644,2.0,6.0,5.0,9.0,4.0,80.0,36.0,82.0,50.0,38.0,81.0,37.0,13.0,9.0,16.0,True
마이시크릿메이트,마이시크릿메이트,창천동,서울 서대문구 연세로4길 47,2신촌역,405m,79,26.0,13.0,11.0,47.0,5.0,14.0,3.0,9.0,,1.0,10.0,1.0,3.0,3.0,4.0,True
제일커피,제일커피,사당동,서울 동작구 사당로14길 19 1층,7남성역,159m,35,27.0,7.0,5.0,,1.0,,,1.0,2.0,,2.0,10.0,,,,True
커피에반하다신림역점신림역점 신림역점,커피에반하다 신림역점,신림동,서울 관악구 남부순환로 1591 1층,2신림신림역,198m,66,31.0,15.0,13.0,4.0,8.0,11.0,2.0,4.0,7.0,,,32.0,1.0,,,False
CAFEWONDER카페원더 카페원더,카페원더,양재동,서울 서초구 바우뫼로41길 88 건화빌딩 1층,3신분당양재역,498m,94,49.0,22.0,29.0,7.0,13.0,11.0,2.0,14.0,4.0,4.0,8.0,10.0,,1.0,8.0,False
만동제과,만동제과,창천동,서울 서대문구 연희로 32,2공항경의중앙홍대입구역,466m,1116,28.0,1.0,26.0,,69.0,6.0,11.0,18.0,6.0,3.0,5.0,45.0,6.0,1.0,7.0,True
명인박남커피 박남커피,박남커피,망원동,서울 마포구 포은로 69,6망원역,535m,11,8.0,6.0,2.0,,,,,3.0,,,1.0,,,,1.0,False
지브릭커피,지브릭커피,진관동,,,,392,5.0,78.0,89.0,58.0,44.0,55.0,25.0,25.0,34.0,4.0,13.0,46.0,16.0,23.0,6.0,True
토프레소 석관점,토프레소 석관점,석관동,서울 성북구 화랑로32길 149,6돌곶이역,807m,17,15.0,1.0,3.0,3.0,1.0,2.0,,,,,1.0,3.0,,2.0,,True
커피니종합운동장역점 종합운동장역점,커피니 종합운동장역점,잠실동,서울 송파구 잠실동 1-236,29종합운동장역,100m,188,4.0,29.0,28.0,12.0,4.0,2.0,2.0,2.0,2.0,2.0,9.0,42.0,1.0,1.0,1.0,False
난곡제과,베이커리로컬 난곡점,신림동,,,,166,44.0,24.0,18.0,,22.0,14.0,,7.0,5.0,3.0,17.0,15.0,8.0,1.0,1.0,False
라온커피,라온커피,행당동,서울 성동구 마조로1가길 17,25경의중앙수인분당왕십리역,183m,115,58.0,20.0,26.0,17.0,10.0,20.0,8.0,5.0,10.0,4.0,3.0,13.0,,,3.0,True
커피볶는집와플에숍 와플에숍,커피볶는집 와플에숍,화곡동,"서울 강서구 강서로16길 20 정림빌딩 1, 2층 커피볶는집 와플에숍",25까치산역,101m,299,5.0,65.0,57.0,3.0,35.0,38.0,18.0,20.0,37.0,17.0,15.0,46.0,3.0,,9.0,False
뉴웨이브커피로스터스,뉴웨이브 커피 로스터스,목동,서울 양천구 오목로56길 2,5오목교역,77m,25,20.0,8.0,8.0,1.0,4.0,1.0,1.0,5.0,,,6.0,2.0,,,1.0,False
스타벅스미아사거리역점 미아사거리역점,스타벅스 미아사거리역점,미아동,서울 강북구 도봉로 32,4미아사거리역,79m,1988,0.0,8.0,7.0,7.0,5.0,3.0,83.0,57.0,4.0,45.0,63.0,47.0,20.0,10.0,17.0,False
드롭오가닉커피,드롭 오가닉 커피,부암동,,,,84,43.0,9.0,15.0,58.0,9.0,2.0,,3.0,1.0,,12.0,5.0,,2.0,1.0,False
언커먼그라운드커피카페,언커먼그라운드,성수동2가,서울 성동구 연무장11길 15 청운재,2성수역,148m,73,41.0,28.0,19.0,6.0,14.0,11.0,10.0,6.0,9.0,4.0,,5.0,2.0,1.0,1.0,False
스타벅스 당산점,스타벅스 당산점,당산동6가,서울 영등포구 양평로 64,29당산역,181m,1158,1.0,5.0,9.0,2.0,3.0,4.0,67.0,58.0,91.0,46.0,49.0,30.0,17.0,11.0,21.0,True
공차어린이대공원역점 어린이대공원역점,공차 어린이대공원역점,군자동,서울 광진구 광나루로 398 공차 어린이대공원역점,7어린이대공원역,29m,486,,84.0,0.0,28.0,55.0,27.0,13.0,6.0,25.0,8.0,34.0,35.0,3.0,4.0,2.0,False
카페디키미,키미아트,평창동,,,,129,66.0,12.0,17.0,21.0,11.0,15.0,5.0,28.0,7.0,2.0,5.0,,69.0,5.0,14.0,False
커피베이 서울역점,커피베이 서울역점,동자동,서울 용산구 한강대로 393,14공항경의중앙서울역,14m,171,89.0,18.0,33.0,23.0,12.0,26.0,13.0,2.0,14.0,2.0,4.0,20.0,5.0,2.0,1.0,True
세컨스텝,세컨스텝,신설동,서울 동대문구 난계로30길 36-8,12우이신설신설동역,188m,59,39.0,19.0,11.0,5.0,3.0,7.0,,9.0,1.0,,4.0,6.0,,1.0,1.0,True
야카모즈로스팅,야카모즈로스팅,신사동,서울 강남구 논현로151길 32,3신분당신사역,599m,11,7.0,3.0,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,3.0,3.0,,,1.0,True
카페띠아모 광희점,카페띠아모 광희점,광희동2가,서울 중구 퇴계로 320 1층,245동대문역사문화공원역,76m,13,4.0,3.0,3.0,3.0,1.0,1.0,,1.0,1.0,,2.0,3.0,,,,True
투썸플레이스서울대역중앙점 서울대역중앙점,투썸플레이스 서울대역중앙점,봉천동,서울 관악구 봉천로 472 코업레지던스,2서울대입구역,99m,474,7.0,8.0,97.0,2.0,69.0,48.0,27.0,12.0,26.0,4.0,28.0,15.0,8.0,2.0,6.0,False
커피마마 종암점,커피마마 종암점,종암동,,,,80,48.0,26.0,18.0,10.0,9.0,12.0,1.0,1.0,5.0,1.0,4.0,20.0,2.0,1.0,1.0,True
커피엔진,커피엔진,행당동,서울 성동구 고산자로 284 성동샤르망 122호,25경의중앙수인분당왕십리역,425m,46,24.0,13.0,9.0,1.0,5.0,6.0,1.0,,2.0,2.0,1.0,5.0,,,,True
이디야커피 개봉중앙점,이디야커피 개봉중앙점,개봉동,서울 구로구 개봉로3길 26,7광명사거리역,889m,83,50.0,14.0,20.0,5.0,9.0,12.0,9.0,1.0,5.0,4.0,2.0,8.0,,,1.0,True
CAFEMERCI,카페메르시 서초점,서초동,서울 서초구 서초대로46길 38 센트라빌딩,2서초역,330m,34,17.0,8.0,9.0,1.0,3.0,4.0,1.0,2.0,,1.0,2.0,4.0,1.0,,,False
알랑가,카페알랑가,내발산동,서울 강서구 강서로 318-8 1층,5발산역,475m,14,12.0,5.0,3.0,6.0,2.0,2.0,,1.0,1.0,,1.0,3.0,,1.0,1.0,False
스타벅스중랑구청점 중랑구청점,스타벅스 중랑구청점,신내동,서울 중랑구 신내로14길 8,경의중앙경춘망우역,941m,1451,3.0,3.0,1.0,9.0,6.0,5.0,60.0,58.0,78.0,57.0,28.0,35.0,20.0,42.0,12.0,False
클라우드9,클라우드9,월계동,서울 노원구 화랑로 337-23 클라우드9,16석계역,118m,32,1.0,12.0,,,9.0,,,11.0,1.0,2.0,3.0,2.0,3.0,1.0,,True
카페애일,카페애일,안암동5가,서울 성북구 고려대로24길 3-44 1층 카페애일,6안암역,25m,44,9.0,21.0,6.0,27.0,14.0,3.0,1.0,1.0,,,13.0,18.0,,1.0,,True
스타벅스 문래역점,스타벅스 문래역점,문래동3가,서울 영등포구 당산로 34,2문래역,292m,2135,4.0,8.0,6.0,5.0,2.0,0.0,4.0,2.0,8.0,4.0,77.0,71.0,66.0,43.0,36.0,True
스타벅스 서강대점,스타벅스 서강대점,신수동,서울 마포구 백범로 23,2신촌역,307m,509,7.0,2.0,4.0,68.0,56.0,41.0,48.0,17.0,40.0,12.0,12.0,11.0,8.0,9.0,6.0,True
티티까페,티티베이커리 본점,잠원동,,,,137,12.0,21.0,6.0,,10.0,,,1.0,,,28.0,11.0,,,,False
스타벅스 봉은사로선정릉점,스타벅스 봉은사로선정릉점,삼성동,서울 강남구 봉은사로 446,9수인분당선정릉역,369m,479,8.0,7.0,68.0,60.0,93.0,48.0,24.0,21.0,27.0,13.0,11.0,7.0,16.0,2.0,5.0,True
커피베이 보라매점,커피베이 보라매점,봉천동,서울 관악구 봉천로 247,신림당곡역,154m,68,27.0,27.0,8.0,8.0,7.0,6.0,2.0,,2.0,6.0,1.0,2.0,,2.0,,True
이디야커피 해군회관점,이디야커피 해군회관점,대방동,서울 동작구 여의대방로 194 1층,신림서울지방병무청역,221m,179,80.0,47.0,44.0,23.0,20.0,18.0,7.0,4.0,7.0,6.0,7.0,27.0,3.0,2.0,3.0,True
꼼떼커피,꼼떼커피,충정로3가,서울 서대문구 충정로 29 동아일보사건물,25충정로역,141m,66,40.0,12.0,13.0,5.0,9.0,11.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,,True
카페다커피 독립문점,카페다커피,무악동,서울 종로구 통일로14길 24-2,3독립문역,134m,54,34.0,9.0,11.0,3.0,5.0,10.0,2.0,,,,1.0,2.0,1.0,,,False
투썸플레이스 LG광화문빌딩점,투썸플레이스 LG광화문빌딩점,신문로2가,서울 종로구 새문안로 58 LG광화문빌딩 지하 1층 투썸플레이스,5광화문역,495m,63,24.0,9.0,19.0,8.0,4.0,5.0,,3.0,6.0,1.0,5.0,3.0,1.0,1.0,,True
오바도즈,오바도즈,서교동,서울 마포구 독막로9길 3-4,6상수역,389m,101,54.0,37.0,36.0,51.0,22.0,10.0,2.0,29.0,2.0,8.0,10.0,5.0,2.0,1.0,8.0,True
북해빙수,북해빙수,반포동,서울 중구 다산로47길 28,26신당역,177m,124,48.0,30.0,31.0,62.0,12.0,10.0,,3.0,,2.0,37.0,11.0,1.0,,,True
미칠비루디져트아뜰리에,미칠비루 디저트 아뜰리에,일원동,서울 강남구 일원로5길 68 101호 미칠비루 디저트 아뜰리에,3대청역,702m,14,3.0,6.0,2.0,6.0,3.0,,,2.0,,,3.0,3.0,,,,False
커피빈 코리아청담카페점,커피빈 청담카페점,청담동,서울 강남구 도산대로67길 7 파크빌딩,수인분당압구정로데오역,560m,386,5.0,54.0,68.0,38.0,65.0,47.0,16.0,22.0,38.0,20.0,13.0,13.0,4.0,6.0,4.0,False
공차한양대점 한양대점,공차 한양대점,행당동,서울 성동구 마조로 21,25경의중앙수인분당왕십리역,293m,289,,32.0,6.0,20.0,15.0,31.0,15.0,4.0,22.0,5.0,15.0,12.0,2.0,1.0,3.0,False
카페알토바이밀도 알토바이밀도,카페알토 바이 밀도,한강로2가,서울 용산구 한강대로 100 지하 1층,4신용산역,84m,593,8.0,60.0,60.0,,0.0,43.0,17.0,70.0,25.0,21.0,56.0,20.0,4.0,37.0,11.0,False
스타벅스 방배다이치빌딩점,스타벅스 방배다이치빌딩점,방배동,서울 서초구 방배로 114,2방배역,317m,958,1.0,6.0,8.0,2.0,9.0,63.0,58.0,43.0,49.0,37.0,40.0,21.0,15.0,5.0,8.0,True
투썸플레이스 가락시장역점,투썸플레이스 가락시장역점,가락동,서울 송파구 중대로 113 대한전기협회,38가락시장역,200m,271,9.0,31.0,50.0,75.0,35.0,49.0,21.0,24.0,33.0,8.0,12.0,15.0,6.0,8.0,2.0,True
파트원나이스,파트원나이스,천호동,서울 강동구 올림픽로89길 29,8암사역,468m,34,22.0,12.0,7.0,15.0,5.0,4.0,2.0,2.0,3.0,,16.0,1.0,,,4.0,True
미홍,미홍 본점,서교동,서울 마포구 양화로 45 B183호 미홍,26합정역,109m,36,,5.0,,,1.0,,,,,,1.0,,,,,False
스타벅스 뉴코아강남점,스타벅스 뉴코아강남점,잠원동,서울 서초구 잠원로 69,7반포역,475m,832,5.0,5.0,7.0,92.0,77.0,77.0,13.0,31.0,21.0,13.0,31.0,14.0,7.0,66.0,10.0,True
캐리키즈카페 IFC몰점,캐리키즈카페 IFC몰점,여의도동,서울 영등포구 국제금융로 10 IFC몰 L2 캐리키즈카페,59여의도역,437m,421,,0.0,12.0,,2.0,,,,,49.0,,,,4.0,,True
Cafe맑음,카페 맑음,양평동4가,서울 영등포구 선유동2로 65-1,29당산역,373m,100,54.0,23.0,20.0,8.0,11.0,7.0,2.0,7.0,3.0,1.0,4.0,28.0,2.0,1.0,1.0,False
카페더스노우,더스노우 논현점,논현동,서울 강남구 강남대로118길 40,9신분당신논현역,403m,94,27.0,25.0,23.0,60.0,14.0,3.0,,11.0,3.0,,26.0,,1.0,1.0,4.0,False
"커피,한송이",커피 한송이,등촌동,서울 강서구 공항대로45길 44 청림오피스텔,9가양역,541m,52,,24.0,,,,,,,,,,,,2.0,,False
카페129-11 129-11,카페129-11,연희동,,,,141,58.0,31.0,31.0,26.0,24.0,21.0,28.0,24.0,18.0,6.0,7.0,2.0,11.0,,6.0,False
오후카페,ohooCafe,누하동,서울 종로구 자하문로9길 33,3경복궁역,471m,128,55.0,17.0,32.0,9.0,15.0,32.0,6.0,20.0,23.0,5.0,5.0,4.0,5.0,1.0,6.0,False
최가커피,최가커피 자양점,자양동,서울 광진구 자양로13가길 18 1층,2구의역,500m,44,32.0,8.0,7.0,12.0,4.0,5.0,2.0,4.0,1.0,,6.0,1.0,,,,False
통툰만화까페,통툰만화까페 발산역점,내발산동,서울 강서구 강서로52길 16,5발산역,97m,39,,10.0,,,11.0,,,,,2.0,,8.0,,1.0,,False
이디야커피 등촌역점,이디야커피 등촌역점,등촌동,서울 강서구 등촌로 217 희망찬교회,9등촌역,198m,116,52.0,30.0,33.0,26.0,18.0,10.0,4.0,3.0,3.0,1.0,2.0,17.0,1.0,,2.0,True
로비라운지&델리,쉐라톤 그랜드 인천 호텔 로비라운지 커넥션,장충동2가,인천 연수구 컨벤시아대로 153 1층,인천1인천대입구역,805m,75,13.0,33.0,20.0,46.0,12.0,13.0,2.0,9.0,10.0,11.0,17.0,14.0,1.0,19.0,6.0,False
꼬메노,꼬메노,화양동,서울 광진구 군자로7길 29 1층 카페꼬메노,7어린이대공원역,541m,95,62.0,41.0,34.0,43.0,12.0,22.0,13.0,47.0,3.0,,23.0,7.0,2.0,,12.0,True
카페그리다,카페그리다,정릉동,서울 성북구 솔샘로 19 이앤리 1층,우이신설북한산보국문역,513m,79,23.0,36.0,32.0,,36.0,9.0,3.0,13.0,4.0,,17.0,6.0,1.0,,6.0,True
카페 트레비,트레비커피로스터스,군자동,서울 광진구 군자로 63,7어린이대공원역,456m,73,51.0,16.0,16.0,19.0,12.0,9.0,7.0,14.0,1.0,3.0,5.0,4.0,3.0,,3.0,False
스타벅스 청담점,스타벅스 청담점,청담동,서울 강남구 도산대로 532,7청담역,745m,700,5.0,7.0,4.0,7.0,0.0,57.0,37.0,30.0,55.0,30.0,30.0,19.0,18.0,2.0,7.0,True
쓰임,쓰임,방학동,서울 도봉구 도봉로143길 32 leather work-shop 쓰임,1방학역,806m,20,,14.0,,,,,,,,,,,,1.0,,True
탐앤탐스난곡사거리점 난곡사거리점,탐앤탐스 난곡사거리점,신림동,서울 관악구 남부순환로 1474 상원빌딩,2신대방역,702m,412,5.0,88.0,70.0,74.0,60.0,56.0,38.0,25.0,42.0,17.0,20.0,17.0,9.0,7.0,4.0,False
우리집젤라또,우리집젤라또,방배동,서울 서초구 동광로 25 예옥빌,47이수역,552m,26,1.0,12.0,,15.0,7.0,,,2.0,1.0,,14.0,2.0,1.0,,,True
카페낢진 고대점,카페 낢진 고대점,안암동5가,서울 성북구 안암로 145 고려대학교 중앙광장 지하1층,6고려대역,326m,42,22.0,8.0,10.0,3.0,11.0,4.0,5.0,6.0,2.0,,4.0,9.0,1.0,4.0,,False
빽다방공덕새창로점 공덕새창로점,빽다방 공덕새창로점,도화동,서울 마포구 새창로 15-1,56공항경의중앙공덕역,111m,184,92.0,33.0,33.0,19.0,6.0,4.0,1.0,5.0,2.0,1.0,10.0,56.0,1.0,1.0,1.0,False
스타벅스구로디지털로점 구로디지털로점,스타벅스 구로디지털로점,구로동,서울 구로구 디지털로33길 11,2구로디지털단지역,578m,1426,2.0,1.0,0.0,8.0,6.0,2.0,71.0,89.0,88.0,33.0,48.0,39.0,26.0,30.0,22.0,False
투썸플레이스 CGV수유,투썸플레이스 CGV수유점,수유동,서울 강북구 도봉로 399,4수유역,555m,61,37.0,8.0,11.0,7.0,14.0,5.0,4.0,3.0,3.0,1.0,1.0,2.0,,1.0,1.0,False
커피빈 코리아반포엘루체점,커피빈 반포엘루체점,반포동,서울 서초구 신반포로 23 엘루체,9구반포역,15m,182,97.0,46.0,50.0,21.0,22.0,18.0,1.0,2.0,6.0,1.0,3.0,8.0,,2.0,,False
테라로사커피 광화문점,테라로사 광화문점,중학동,서울 종로구 종로1길 50 더케이트윈타워 B동 1층,5광화문역,456m,785,5.0,1.0,5.0,2.0,4.0,9.0,54.0,3.0,66.0,43.0,51.0,8.0,28.0,29.0,27.0,False
보사노바커피로스터스 문래점,보사노바 커피로스터스 문래점,문래동3가,서울 영등포구 영등포로20길 22-4,2문래역,300m,391,5.0,44.0,77.0,7.0,27.0,35.0,46.0,74.0,26.0,14.0,24.0,18.0,6.0,,16.0,False
더치앤빈 문정점,더치앤빈 문정테라타워2점,문정동,서울 송파구 송파대로 201,8문정역,358m,82,57.0,19.0,20.0,8.0,4.0,6.0,,3.0,,,5.0,9.0,1.0,1.0,,False
이가커피,씨크스페셜티커피,신사동,,,,193,9.0,65.0,63.0,80.0,56.0,36.0,14.0,41.0,11.0,13.0,44.0,7.0,5.0,4.0,15.0,False
빽다방서초우성점 서초우성점,빽다방 서초우성점,서초동,서울 서초구 사임당로 181,2신분당강남역,297m,394,7.0,42.0,73.0,21.0,13.0,4.0,3.0,3.0,,,12.0,4.0,2.0,,2.0,False
고센클래식,고센인코퍼레이티드 청담점,청담동,서울 강남구 선릉로158길 18,수인분당압구정로데오역,227m,177,42.0,16.0,31.0,43.0,14.0,36.0,3.0,57.0,25.0,30.0,36.0,10.0,7.0,24.0,16.0,False
스타벅스 코엑스몰점,스타벅스 코엑스몰점,삼성동,서울 강남구 봉은사로 524,9봉은사역,75m,805,1.0,6.0,9.0,99.0,6.0,82.0,34.0,36.0,90.0,27.0,21.0,21.0,6.0,30.0,8.0,True
공차 NC천호점,공차 2001아울렛 천호점,천호동,서울 강동구 구천면로 189 2001아울렛 1층,58천호역,372m,26,,5.0,14.0,2.0,1.0,1.0,1.0,,,,,2.0,,2.0,,False
놀숲 건대점,놀숲 건대점,자양동,서울 광진구 아차산로 224 3층 놀숲건대점,27건대입구역,19m,185,,37.0,,,43.0,,,,,19.0,,34.0,,1.0,,True
더올리브,더올리브,옥수동,,,,137,,32.0,,,20.0,,,9.0,,7.0,21.0,5.0,41.0,2.0,,True
놀숲 플러스홍대점,놀숲플러스 홍대점,서교동,서울 마포구 양화로16길 29 B1,2공항경의중앙홍대입구역,427m,191,,43.0,,,47.0,,,,,27.0,,37.0,,,,False
본죽 &비빔밥카페마곡나루역점,본죽&비빔밥cafe 마곡나루역점,마곡동,서울 강서구 마곡중앙로 161-8 두산더랜드파크 A동 105호,9공항마곡나루역,253m,203,,74.0,,,31.0,,,3.0,,4.0,11.0,21.0,2.0,9.0,,False
이디야커피 도림사거리,이디야커피 도림사거리점,신길동,,,,153,82.0,28.0,29.0,16.0,16.0,18.0,15.0,4.0,21.0,9.0,4.0,12.0,4.0,,1.0,False
아티제 동부이촌점,아티제 동부이촌2점,이촌동,서울 용산구 이촌로64길 6,4경의중앙이촌역,434m,449,0.0,8.0,72.0,0.0,73.0,66.0,16.0,18.0,52.0,14.0,37.0,24.0,4.0,6.0,4.0,False
솔루나카페 솔루나,솔루나커피,사당동,,,,17,7.0,4.0,1.0,,3.0,5.0,1.0,,1.0,,,6.0,4.0,1.0,,False
cafe2892,CAFE2892,여의도동,서울 영등포구 국제금융로7길 22 대교B상가 117호,5여의나루역,518m,29,17.0,9.0,8.0,2.0,3.0,1.0,,3.0,1.0,,,6.0,,,,False
카페라리방이점 방이점,까페라리 방이점,방이동,서울 송파구 위례성대로 134 한스빌딩,5방이역,421m,139,68.0,24.0,18.0,88.0,21.0,18.0,,35.0,22.0,7.0,13.0,4.0,7.0,8.0,2.0,False
애니팡팡,애니팡팡,화곡동,서울 강서구 곰달래로 195 풍한빌딩,25까치산역,767m,26,,2.0,1.0,,3.0,,,,,1.0,,,,1.0,,True
더연,더연카페&Bar,종로2가,서울 종로구 종로 74 영안빌딩 5층,1종각역,174m,36,,6.0,,,1.0,10.0,,11.0,,1.0,5.0,1.0,,1.0,,False
삼양커피숍,데어유고,미아동,서울 강북구 오현로6길 77 1층 데어유고,4미아사거리역,312m,127,5.0,59.0,26.0,63.0,29.0,20.0,20.0,45.0,11.0,2.0,13.0,7.0,2.0,1.0,13.0,False
커피주네,커피주네 방배점,방배동,서울 서초구 사평대로2길 10,9구반포역,574m,23,15.0,5.0,6.0,6.0,2.0,1.0,,,,,4.0,8.0,,,,False
붉은산다화,붉은산다화,성내동,서울 강동구 성내로3가길 7 1층,8강동구청역,176m,26,,20.0,,,,,,,,,,,,,,True
모짜르트카페,모짜르트502,서초동,,,,729,4.0,90.0,5.0,5.0,54.0,1.0,6.0,6.0,27.0,23.0,3.0,24.0,0.0,51.0,83.0,False
스타벅스종로관수점 종로관수점,스타벅스 종로관수점,관수동,서울 종로구 삼일대로20길 13,135종로3가역,291m,898,4.0,1.0,2.0,1.0,87.0,83.0,1.0,34.0,48.0,39.0,26.0,22.0,20.0,2.0,7.0,False
카페아드리아,카페아드리아,흑석동,서울 동작구 서달로 142,9흑석역,401m,34,21.0,8.0,5.0,1.0,,3.0,1.0,,3.0,1.0,,6.0,,,,True
스타벅스논현힐탑,스타벅스 논현힐탑점,논현동,서울 강남구 논현로 648,7학동역,256m,719,5.0,1.0,5.0,93.0,4.0,66.0,39.0,50.0,43.0,23.0,27.0,17.0,8.0,11.0,7.0,False
카페다이아몬드 다이아몬드,카페다이아몬드,염리동,,,,206,0.0,32.0,36.0,25.0,16.0,27.0,4.0,17.0,9.0,13.0,3.0,8.0,76.0,29.0,15.0,False
